[1/144] business-days | en_human | sample1 -- ok (2.2s, 560 tokens)
[2/144] business-days | en_human | sample2 -- ok (6.7s, 614 tokens)
[3/144] business-days | en_human | sample3 -- ok (7.0s, 589 tokens)
[4/144] business-days | en_human | sample4 -- ok (6.9s, 593 tokens)
[5/144] business-days | en_human | sample5 -- ok (7.1s, 672 tokens)
[6/144] business-days | en_human | sample6 -- ok (6.6s, 577 tokens)
[7/144] business-days | ja_raw | sample1 -- ok (7.4s, 765 tokens)
[8/144] business-days | ja_raw | sample2 -- ok (7.3s, 683 tokens)
[9/144] business-days | ja_raw | sample3 -- ok (8.2s, 920 tokens)
[10/144] business-days | ja_raw | sample4 -- ok (7.6s, 753 tokens)
[11/144] business-days | ja_raw | sample5 -- ok (7.4s, 772 tokens)
[12/144] business-days | ja_raw | sample6 -- ok (7.5s, 787 tokens)
[13/144] business-days | ja_directive | sample1 -- ok (9.7s, 1520 tokens)
[14/144] business-days | ja_directive | sample2 -- ok (12.2s, 2372 tokens)
[15/144] business-days | ja_directive | sample3 -- ok (6.7s, 610 tokens)
[16/144] business-days | ja_directive | sample4 -- ok (7.9s, 858 tokens)
[17/144] business-days | ja_directive | sample5 -- ok (10.3s, 1713 tokens)
[18/144] business-days | ja_directive | sample6 -- ok (8.6s, 1265 tokens)
[19/144] business-days | mt_en | sample1 -- ok (7.3s, 724 tokens)
[20/144] business-days | mt_en | sample2 -- ok (6.7s, 604 tokens)
[21/144] business-days | mt_en | sample3 -- ok (7.5s, 794 tokens)
[22/144] business-days | mt_en | sample4 -- ok (7.4s, 812 tokens)
[23/144] business-days | mt_en | sample5 -- ok (6.7s, 512 tokens)
[24/144] business-days | mt_en | sample6 -- ok (7.0s, 716 tokens)
[25/144] currency-format | en_human | sample1 -- ok (6.3s, 334 tokens)
[26/144] currency-format | en_human | sample2 -- ok (6.5s, 305 tokens)
[27/144] currency-format | en_human | sample3 -- ok (6.0s, 302 tokens)
[28/144] currency-format | en_human | sample4 -- ok (5.9s, 286 tokens)
[29/144] currency-format | en_human | sample5 -- ok (6.3s, 356 tokens)
[30/144] currency-format | en_human | sample6 -- ok (6.3s, 335 tokens)
[31/144] currency-format | ja_raw | sample1 -- ok (6.5s, 444 tokens)
[32/144] currency-format | ja_raw | sample2 -- ok (6.4s, 401 tokens)
[33/144] currency-format | ja_raw | sample3 -- ok (6.3s, 357 tokens)
[34/144] currency-format | ja_raw | sample4 -- ok (6.3s, 381 tokens)
[35/144] currency-format | ja_raw | sample5 -- ok (6.6s, 426 tokens)
[36/144] currency-format | ja_raw | sample6 -- ok (6.4s, 378 tokens)
[37/144] currency-format | ja_directive | sample1 -- ok (6.6s, 451 tokens)
[38/144] currency-format | ja_directive | sample2 -- ok (8.1s, 990 tokens)
[39/144] currency-format | ja_directive | sample3 -- ok (6.5s, 456 tokens)
[40/144] currency-format | ja_directive | sample4 -- ok (8.0s, 964 tokens)
[41/144] currency-format | ja_directive | sample5 -- ok (6.5s, 434 tokens)
[42/144] currency-format | ja_directive | sample6 -- ok (6.4s, 374 tokens)
[43/144] currency-format | mt_en | sample1 -- ok (6.1s, 297 tokens)
[44/144] currency-format | mt_en | sample2 -- ok (6.5s, 366 tokens)
[45/144] currency-format | mt_en | sample3 -- ok (6.2s, 318 tokens)
[46/144] currency-format | mt_en | sample4 -- ok (6.4s, 418 tokens)
[47/144] currency-format | mt_en | sample5 -- ok (6.0s, 307 tokens)
[48/144] currency-format | mt_en | sample6 -- ok (6.2s, 332 tokens)
[49/144] reverse-list-elements | en_human | sample1 -- ok (6.4s, 425 tokens)
[50/144] reverse-list-elements | en_human | sample2 -- ok (6.5s, 440 tokens)
[51/144] reverse-list-elements | en_human | sample3 -- ok (6.6s, 446 tokens)
[52/144] reverse-list-elements | en_human | sample4 -- ok (6.5s, 419 tokens)
[53/144] reverse-list-elements | en_human | sample5 -- ok (6.9s, 523 tokens)
[54/144] reverse-list-elements | en_human | sample6 -- ok (6.4s, 403 tokens)
[55/144] reverse-list-elements | ja_raw | sample1 -- ok (7.7s, 821 tokens)
[56/144] reverse-list-elements | ja_raw | sample2 -- ok (6.9s, 585 tokens)
[57/144] reverse-list-elements | ja_raw | sample3 -- ok (7.2s, 599 tokens)
[58/144] reverse-list-elements | ja_raw | sample4 -- ok (7.3s, 686 tokens)
[59/144] reverse-list-elements | ja_raw | sample5 -- ok (7.1s, 592 tokens)
[60/144] reverse-list-elements | ja_raw | sample6 -- ok (6.4s, 461 tokens)
[61/144] reverse-list-elements | ja_directive | sample1 -- ok (8.2s, 1072 tokens)
[62/144] reverse-list-elements | ja_directive | sample2 -- ok (8.7s, 1112 tokens)
[63/144] reverse-list-elements | ja_directive | sample3 -- ok (8.8s, 1123 tokens)
[64/144] reverse-list-elements | ja_directive | sample4 -- ok (6.6s, 485 tokens)
[65/144] reverse-list-elements | ja_directive | sample5 -- ok (7.4s, 718 tokens)
[66/144] reverse-list-elements | ja_directive | sample6 -- ok (7.5s, 716 tokens)
[67/144] reverse-list-elements | mt_en | sample1 -- ok (6.6s, 427 tokens)
[68/144] reverse-list-elements | mt_en | sample2 -- ok (6.6s, 535 tokens)
[69/144] reverse-list-elements | mt_en | sample3 -- ok (6.5s, 420 tokens)
[70/144] reverse-list-elements | mt_en | sample4 -- ok (6.2s, 391 tokens)
[71/144] reverse-list-elements | mt_en | sample5 -- ok (6.3s, 372 tokens)
