[1/72] qwen3.5:9b | business-days | en_human | sample1 -- skip (already done)
[2/72] qwen3.5:9b | business-days | en_human | sample2 -- skip (already done)
[3/72] qwen3.5:9b | business-days | en_human | sample3 -- skip (already done)
[4/72] qwen3.5:9b | business-days | ja_raw | sample1 -- skip (already done)
[5/72] qwen3.5:9b | business-days | ja_raw | sample2 -- skip (already done)
[6/72] qwen3.5:9b | business-days | ja_raw | sample3 -- skip (already done)
[7/72] qwen3.5:9b | business-days | ja_directive | sample1 -- ok (168.1s)
[8/72] qwen3.5:9b | business-days | ja_directive | sample2 -- skip (already done)
[9/72] qwen3.5:9b | business-days | ja_directive | sample3 -- ok (136.5s)
[10/72] qwen3.5:9b | business-days | mt_en | sample1 -- skip (already done)
[11/72] qwen3.5:9b | business-days | mt_en | sample2 -- skip (already done)
[12/72] qwen3.5:9b | business-days | mt_en | sample3 -- skip (already done)
[13/72] qwen3.5:9b | currency-format | en_human | sample1 -- skip (already done)
[14/72] qwen3.5:9b | currency-format | en_human | sample2 -- skip (already done)
[15/72] qwen3.5:9b | currency-format | en_human | sample3 -- skip (already done)
[16/72] qwen3.5:9b | currency-format | ja_raw | sample1 -- skip (already done)
[17/72] qwen3.5:9b | currency-format | ja_raw | sample2 -- skip (already done)
[18/72] qwen3.5:9b | currency-format | ja_raw | sample3 -- skip (already done)
[19/72] qwen3.5:9b | currency-format | ja_directive | sample1 -- ok (202.4s)
[20/72] qwen3.5:9b | currency-format | ja_directive | sample2 -- ok (118.6s)
[21/72] qwen3.5:9b | currency-format | ja_directive | sample3 -- ok (18.1s)
[22/72] qwen3.5:9b | currency-format | mt_en | sample1 -- skip (already done)
[23/72] qwen3.5:9b | currency-format | mt_en | sample2 -- skip (already done)
[24/72] qwen3.5:9b | currency-format | mt_en | sample3 -- skip (already done)
[25/72] qwen3.5:9b | reverse-list-elements | en_human | sample1 -- skip (already done)
[26/72] qwen3.5:9b | reverse-list-elements | en_human | sample2 -- skip (already done)
[27/72] qwen3.5:9b | reverse-list-elements | en_human | sample3 -- skip (already done)
[28/72] qwen3.5:9b | reverse-list-elements | ja_raw | sample1 -- skip (already done)
[29/72] qwen3.5:9b | reverse-list-elements | ja_raw | sample2 -- skip (already done)
[30/72] qwen3.5:9b | reverse-list-elements | ja_raw | sample3 -- skip (already done)
[31/72] qwen3.5:9b | reverse-list-elements | ja_directive | sample1 -- skip (already done)
[32/72] qwen3.5:9b | reverse-list-elements | ja_directive | sample2 -- skip (already done)
[33/72] qwen3.5:9b | reverse-list-elements | ja_directive | sample3 -- skip (already done)
[34/72] qwen3.5:9b | reverse-list-elements | mt_en | sample1 -- skip (already done)
[35/72] qwen3.5:9b | reverse-list-elements | mt_en | sample2 -- skip (already done)
[36/72] qwen3.5:9b | reverse-list-elements | mt_en | sample3 -- skip (already done)
[37/72] qwen3.5:9b | eval-expression | en_human | sample1 -- skip (already done)
[38/72] qwen3.5:9b | eval-expression | en_human | sample2 -- skip (already done)
[39/72] qwen3.5:9b | eval-expression | en_human | sample3 -- skip (already done)
[40/72] qwen3.5:9b | eval-expression | ja_raw | sample1 -- skip (already done)
[41/72] qwen3.5:9b | eval-expression | ja_raw | sample2 -- skip (already done)
[42/72] qwen3.5:9b | eval-expression | ja_raw | sample3 -- skip (already done)
[43/72] qwen3.5:9b | eval-expression | ja_directive | sample1 -- ok (200.8s)
[44/72] qwen3.5:9b | eval-expression | ja_directive | sample2 -- ok (151.6s)
[45/72] qwen3.5:9b | eval-expression | ja_directive | sample3 -- skip (already done)
[46/72] qwen3.5:9b | eval-expression | mt_en | sample1 -- skip (already done)
[47/72] qwen3.5:9b | eval-expression | mt_en | sample2 -- skip (already done)
[48/72] qwen3.5:9b | eval-expression | mt_en | sample3 -- skip (already done)
[49/72] qwen3.5:9b | shortest-path | en_human | sample1 -- skip (already done)
[50/72] qwen3.5:9b | shortest-path | en_human | sample2 -- ok (41.7s)
[51/72] qwen3.5:9b | shortest-path | en_human | sample3 -- skip (already done)
[52/72] qwen3.5:9b | shortest-path | ja_raw | sample1 -- skip (already done)
[53/72] qwen3.5:9b | shortest-path | ja_raw | sample2 -- skip (already done)
[54/72] qwen3.5:9b | shortest-path | ja_raw | sample3 -- skip (already done)
[55/72] qwen3.5:9b | shortest-path | ja_directive | sample1 -- ok (163.1s)
[56/72] qwen3.5:9b | shortest-path | ja_directive | sample2 -- ok (169.7s)
[57/72] qwen3.5:9b | shortest-path | ja_directive | sample3 -- ok (125.6s)
[58/72] qwen3.5:9b | shortest-path | mt_en | sample1 -- skip (already done)
[59/72] qwen3.5:9b | shortest-path | mt_en | sample2 -- skip (already done)
[60/72] qwen3.5:9b | shortest-path | mt_en | sample3 -- skip (already done)
[61/72] qwen3.5:9b | bank-rollback | en_human | sample1 -- skip (already done)
[62/72] qwen3.5:9b | bank-rollback | en_human | sample2 -- skip (already done)
[63/72] qwen3.5:9b | bank-rollback | en_human | sample3 -- skip (already done)
[64/72] qwen3.5:9b | bank-rollback | ja_raw | sample1 -- skip (already done)
[65/72] qwen3.5:9b | bank-rollback | ja_raw | sample2 -- skip (already done)
[66/72] qwen3.5:9b | bank-rollback | ja_raw | sample3 -- skip (already done)
[67/72] qwen3.5:9b | bank-rollback | ja_directive | sample1 -- skip (already done)
[68/72] qwen3.5:9b | bank-rollback | ja_directive | sample2 -- ok (119.2s)
[69/72] qwen3.5:9b | bank-rollback | ja_directive | sample3 -- skip (already done)
[70/72] qwen3.5:9b | bank-rollback | mt_en | sample1 -- skip (already done)
[71/72] qwen3.5:9b | bank-rollback | mt_en | sample2 -- skip (already done)
[72/72] qwen3.5:9b | bank-rollback | mt_en | sample3 -- skip (already done)

--- run complete ---
total slots:      72
skipped (no prompt yet): 0
skipped (already done):  60
failed:                  0
