[1/144] business-days | en_human | sample1 -- skip (already done)
[2/144] business-days | en_human | sample2 -- ok (44.7s, 1663 tokens)
[3/144] business-days | en_human | sample3 -- ok (38.0s, 1296 tokens)
[4/144] business-days | en_human | sample4 -- ok (45.8s, 1578 tokens)
[5/144] business-days | en_human | sample5 -- ok (38.2s, 1336 tokens)
[6/144] business-days | en_human | sample6 -- ok (45.0s, 1560 tokens)
[7/144] business-days | ja_raw | sample1 -- skip (already done)
[8/144] business-days | ja_raw | sample2 -- ok (44.9s, 1581 tokens)
[9/144] business-days | ja_raw | sample3 -- ok (52.1s, 1822 tokens)
[10/144] business-days | ja_raw | sample4 -- ok (45.7s, 1593 tokens)
[11/144] business-days | ja_raw | sample5 -- ok (55.1s, 1956 tokens)
[12/144] business-days | ja_raw | sample6 -- ok (46.9s, 1626 tokens)
[13/144] business-days | ja_directive | sample1 -- skip (already done)
[14/144] business-days | ja_directive | sample2 -- ok (49.6s, 1729 tokens)
[15/144] business-days | ja_directive | sample3 -- ok (59.0s, 2057 tokens)
[16/144] business-days | ja_directive | sample4 -- ok (60.4s, 2118 tokens)
[17/144] business-days | ja_directive | sample5 -- ok (62.0s, 2185 tokens)
[18/144] business-days | ja_directive | sample6 -- ok (50.0s, 1746 tokens)
[19/144] business-days | mt_en | sample1 -- skip (already done)
[20/144] business-days | mt_en | sample2 -- ok (53.9s, 1886 tokens)
[21/144] business-days | mt_en | sample3 -- ok (46.3s, 1631 tokens)
[22/144] business-days | mt_en | sample4 -- ok (40.9s, 1438 tokens)
[23/144] business-days | mt_en | sample5 -- ok (44.8s, 1565 tokens)
[24/144] business-days | mt_en | sample6 -- ok (49.5s, 1761 tokens)
[25/144] currency-format | en_human | sample1 -- skip (already done)
[26/144] currency-format | en_human | sample2 -- ok (35.6s, 1217 tokens)
[27/144] currency-format | en_human | sample3 -- ok (35.4s, 1183 tokens)
[28/144] currency-format | en_human | sample4 -- ok (41.0s, 1393 tokens)
[29/144] currency-format | en_human | sample5 -- ok (33.5s, 1110 tokens)
[30/144] currency-format | en_human | sample6 -- ok (34.0s, 1148 tokens)
[31/144] currency-format | ja_raw | sample1 -- skip (already done)
[32/144] currency-format | ja_raw | sample2 -- ok (30.7s, 1023 tokens)
[33/144] currency-format | ja_raw | sample3 -- ok (37.5s, 1270 tokens)
[34/144] currency-format | ja_raw | sample4 -- ok (34.4s, 1163 tokens)
[35/144] currency-format | ja_raw | sample5 -- ok (33.5s, 1140 tokens)
[36/144] currency-format | ja_raw | sample6 -- ok (29.2s, 988 tokens)
[37/144] currency-format | ja_directive | sample1 -- skip (already done)
[38/144] currency-format | ja_directive | sample2 -- ok (38.4s, 1324 tokens)
[39/144] currency-format | ja_directive | sample3 -- ok (36.8s, 1271 tokens)
[40/144] currency-format | ja_directive | sample4 -- ok (39.1s, 1327 tokens)
[41/144] currency-format | ja_directive | sample5 -- ok (40.9s, 1400 tokens)
[42/144] currency-format | ja_directive | sample6 -- ok (33.3s, 1127 tokens)
[43/144] currency-format | mt_en | sample1 -- skip (already done)
[44/144] currency-format | mt_en | sample2 -- ok (31.5s, 1043 tokens)
[45/144] currency-format | mt_en | sample3 -- ok (37.4s, 1243 tokens)
[46/144] currency-format | mt_en | sample4 -- ok (32.2s, 1068 tokens)
[47/144] currency-format | mt_en | sample5 -- ok (29.8s, 980 tokens)
[48/144] currency-format | mt_en | sample6 -- ok (32.5s, 1101 tokens)
[49/144] reverse-list-elements | en_human | sample1 -- skip (already done)
[50/144] reverse-list-elements | en_human | sample2 -- ok (30.9s, 1031 tokens)
[51/144] reverse-list-elements | en_human | sample3 -- ok (32.6s, 1117 tokens)
[52/144] reverse-list-elements | en_human | sample4 -- ok (29.8s, 997 tokens)
[53/144] reverse-list-elements | en_human | sample5 -- ok (31.6s, 1052 tokens)
[54/144] reverse-list-elements | en_human | sample6 -- ok (32.5s, 1075 tokens)
[55/144] reverse-list-elements | ja_raw | sample1 -- skip (already done)
[56/144] reverse-list-elements | ja_raw | sample2 -- ok (31.0s, 1057 tokens)
[57/144] reverse-list-elements | ja_raw | sample3 -- ok (34.7s, 1181 tokens)
[58/144] reverse-list-elements | ja_raw | sample4 -- ok (41.0s, 1394 tokens)
[59/144] reverse-list-elements | ja_raw | sample5 -- ok (35.7s, 1207 tokens)
[60/144] reverse-list-elements | ja_raw | sample6 -- ok (32.6s, 1107 tokens)
[61/144] reverse-list-elements | ja_directive | sample1 -- skip (already done)
[62/144] reverse-list-elements | ja_directive | sample2 -- ok (47.8s, 1645 tokens)
[63/144] reverse-list-elements | ja_directive | sample3 -- ok (35.3s, 1218 tokens)
[64/144] reverse-list-elements | ja_directive | sample4 -- ok (38.7s, 1310 tokens)
[65/144] reverse-list-elements | ja_directive | sample5 -- ok (41.5s, 1427 tokens)
[66/144] reverse-list-elements | ja_directive | sample6 -- ok (44.3s, 1552 tokens)
[67/144] reverse-list-elements | mt_en | sample1 -- skip (already done)
[68/144] reverse-list-elements | mt_en | sample2 -- ok (31.0s, 1056 tokens)
[69/144] reverse-list-elements | mt_en | sample3 -- ok (27.5s, 892 tokens)
[70/144] reverse-list-elements | mt_en | sample4 -- ok (34.5s, 1135 tokens)
[71/144] reverse-list-elements | mt_en | sample5 -- ok (24.9s, 827 tokens)
[72/144] reverse-list-elements | mt_en | sample6 -- ok (27.8s, 935 tokens)
[73/144] eval-expression | en_human | sample1 -- skip (already done)
[74/144] eval-expression | en_human | sample2 -- ok (65.4s, 2233 tokens)
[75/144] eval-expression | en_human | sample3 -- ok (90.5s, 3135 tokens)
[76/144] eval-expression | en_human | sample4 -- ok (71.5s, 2483 tokens)
[77/144] eval-expression | en_human | sample5 -- ok (58.6s, 1993 tokens)
[78/144] eval-expression | en_human | sample6 -- ok (68.3s, 2369 tokens)
[79/144] eval-expression | ja_raw | sample1 -- skip (already done)
[80/144] eval-expression | ja_raw | sample2 -- ok (66.8s, 2343 tokens)
[81/144] eval-expression | ja_raw | sample3 -- ok (71.9s, 2505 tokens)
[82/144] eval-expression | ja_raw | sample4 -- ok (67.4s, 2307 tokens)
[83/144] eval-expression | ja_raw | sample5 -- ok (77.1s, 2713 tokens)
[84/144] eval-expression | ja_raw | sample6 -- ok (64.0s, 2207 tokens)
[85/144] eval-expression | ja_directive | sample1 -- skip (already done)
[86/144] eval-expression | ja_directive | sample2 -- ok (74.0s, 2580 tokens)
[87/144] eval-expression | ja_directive | sample3 -- ok (77.6s, 2722 tokens)
[88/144] eval-expression | ja_directive | sample4 -- ok (71.6s, 2501 tokens)
[89/144] eval-expression | ja_directive | sample5 -- ok (68.2s, 2368 tokens)
[90/144] eval-expression | ja_directive | sample6 -- ok (73.5s, 2543 tokens)
[91/144] eval-expression | mt_en | sample1 -- skip (already done)
[92/144] eval-expression | mt_en | sample2 -- ok (58.2s, 2005 tokens)
[93/144] eval-expression | mt_en | sample3 -- ok (65.9s, 2283 tokens)
