[1/72] qwen3.5:9b | business-days | en_human | sample1 -- skip (already done)
[2/72] qwen3.5:9b | business-days | en_human | sample2 -- skip (already done)
[3/72] qwen3.5:9b | business-days | en_human | sample3 -- skip (already done)
[4/72] qwen3.5:9b | business-days | ja_raw | sample1 -- skip (already done)
[5/72] qwen3.5:9b | business-days | ja_raw | sample2 -- skip (already done)
[6/72] qwen3.5:9b | business-days | ja_raw | sample3 -- ok (20.3s)
[7/72] qwen3.5:9b | business-days | ja_directive | sample1 -- ok (90.4s)
[8/72] qwen3.5:9b | business-days | ja_directive | sample2 -- ok (64.0s)
[9/72] qwen3.5:9b | business-days | ja_directive | sample3 -- ok (88.9s)
[10/72] qwen3.5:9b | business-days | mt_en | sample1 -- ok (22.2s)
[11/72] qwen3.5:9b | business-days | mt_en | sample2 -- ok (20.5s)
[12/72] qwen3.5:9b | business-days | mt_en | sample3 -- ok (17.4s)
[13/72] qwen3.5:9b | currency-format | en_human | sample1 -- ok (19.7s)
[14/72] qwen3.5:9b | currency-format | en_human | sample2 -- ok (41.3s)
[15/72] qwen3.5:9b | currency-format | en_human | sample3 -- ok (21.1s)
[16/72] qwen3.5:9b | currency-format | ja_raw | sample1 -- ok (32.7s)
[17/72] qwen3.5:9b | currency-format | ja_raw | sample2 -- ok (18.2s)
[18/72] qwen3.5:9b | currency-format | ja_raw | sample3 -- ok (22.6s)
[19/72] qwen3.5:9b | currency-format | ja_directive | sample1 -- ok (90.4s)
[20/72] qwen3.5:9b | currency-format | ja_directive | sample2 -- ok (90.5s)
[21/72] qwen3.5:9b | currency-format | ja_directive | sample3 -- ok (90.3s)
[22/72] qwen3.5:9b | currency-format | mt_en | sample1 -- ok (17.8s)
[23/72] qwen3.5:9b | currency-format | mt_en | sample2 -- ok (22.4s)
[24/72] qwen3.5:9b | currency-format | mt_en | sample3 -- ok (17.3s)
[25/72] qwen3.5:9b | reverse-list-elements | en_human | sample1 -- ok (12.0s)
[26/72] qwen3.5:9b | reverse-list-elements | en_human | sample2 -- ok (12.7s)
[27/72] qwen3.5:9b | reverse-list-elements | en_human | sample3 -- ok (18.8s)
[28/72] qwen3.5:9b | reverse-list-elements | ja_raw | sample1 -- ok (14.7s)
[29/72] qwen3.5:9b | reverse-list-elements | ja_raw | sample2 -- ok (36.3s)
[30/72] qwen3.5:9b | reverse-list-elements | ja_raw | sample3 -- ok (21.3s)
[31/72] qwen3.5:9b | reverse-list-elements | ja_directive | sample1 -- ok (51.0s)
[32/72] qwen3.5:9b | reverse-list-elements | ja_directive | sample2 -- ok (83.0s)
[33/72] qwen3.5:9b | reverse-list-elements | ja_directive | sample3 -- ok (50.7s)
[34/72] qwen3.5:9b | reverse-list-elements | mt_en | sample1 -- ok (23.7s)
[35/72] qwen3.5:9b | reverse-list-elements | mt_en | sample2 -- ok (18.3s)
[36/72] qwen3.5:9b | reverse-list-elements | mt_en | sample3 -- ok (16.9s)
[37/72] qwen3.5:9b | eval-expression | en_human | sample1 -- ok (36.2s)
[38/72] qwen3.5:9b | eval-expression | en_human | sample2 -- ok (54.5s)
[39/72] qwen3.5:9b | eval-expression | en_human | sample3 -- ok (71.1s)
[40/72] qwen3.5:9b | eval-expression | ja_raw | sample1 -- ok (35.4s)
[41/72] qwen3.5:9b | eval-expression | ja_raw | sample2 -- ok (22.0s)
[42/72] qwen3.5:9b | eval-expression | ja_raw | sample3 -- ok (26.4s)
[43/72] qwen3.5:9b | eval-expression | ja_directive | sample1 -- ok (87.5s)
[44/72] qwen3.5:9b | eval-expression | ja_directive | sample2 -- ok (87.6s)
[45/72] qwen3.5:9b | eval-expression | ja_directive | sample3 -- ok (26.4s)
[46/72] qwen3.5:9b | eval-expression | mt_en | sample1 -- ok (46.5s)
[47/72] qwen3.5:9b | eval-expression | mt_en | sample2 -- ok (38.0s)
[48/72] qwen3.5:9b | eval-expression | mt_en | sample3 -- ok (40.1s)
[1/72] qwen3.5:9b | business-days | en_human | sample1 -- skip (already done)
[2/72] qwen3.5:9b | business-days | en_human | sample2 -- skip (already done)
[3/72] qwen3.5:9b | business-days | en_human | sample3 -- skip (already done)
[4/72] qwen3.5:9b | business-days | ja_raw | sample1 -- skip (already done)
[5/72] qwen3.5:9b | business-days | ja_raw | sample2 -- skip (already done)
[6/72] qwen3.5:9b | business-days | ja_raw | sample3 -- skip (already done)
[7/72] qwen3.5:9b | business-days | ja_directive | sample1 -- skip (already done)
[8/72] qwen3.5:9b | business-days | ja_directive | sample2 -- skip (already done)
[9/72] qwen3.5:9b | business-days | ja_directive | sample3 -- skip (already done)
[10/72] qwen3.5:9b | business-days | mt_en | sample1 -- skip (already done)
[11/72] qwen3.5:9b | business-days | mt_en | sample2 -- skip (already done)
[12/72] qwen3.5:9b | business-days | mt_en | sample3 -- skip (already done)
[13/72] qwen3.5:9b | currency-format | en_human | sample1 -- skip (already done)
[14/72] qwen3.5:9b | currency-format | en_human | sample2 -- skip (already done)
[15/72] qwen3.5:9b | currency-format | en_human | sample3 -- skip (already done)
[16/72] qwen3.5:9b | currency-format | ja_raw | sample1 -- skip (already done)
[17/72] qwen3.5:9b | currency-format | ja_raw | sample2 -- skip (already done)
[18/72] qwen3.5:9b | currency-format | ja_raw | sample3 -- skip (already done)
[19/72] qwen3.5:9b | currency-format | ja_directive | sample1 -- skip (already done)
[20/72] qwen3.5:9b | currency-format | ja_directive | sample2 -- skip (already done)
[21/72] qwen3.5:9b | currency-format | ja_directive | sample3 -- skip (already done)
[22/72] qwen3.5:9b | currency-format | mt_en | sample1 -- skip (already done)
[23/72] qwen3.5:9b | currency-format | mt_en | sample2 -- skip (already done)
[24/72] qwen3.5:9b | currency-format | mt_en | sample3 -- skip (already done)
[25/72] qwen3.5:9b | reverse-list-elements | en_human | sample1 -- skip (already done)
[26/72] qwen3.5:9b | reverse-list-elements | en_human | sample2 -- skip (already done)
[27/72] qwen3.5:9b | reverse-list-elements | en_human | sample3 -- skip (already done)
[28/72] qwen3.5:9b | reverse-list-elements | ja_raw | sample1 -- skip (already done)
[29/72] qwen3.5:9b | reverse-list-elements | ja_raw | sample2 -- skip (already done)
[30/72] qwen3.5:9b | reverse-list-elements | ja_raw | sample3 -- skip (already done)
[31/72] qwen3.5:9b | reverse-list-elements | ja_directive | sample1 -- skip (already done)
[32/72] qwen3.5:9b | reverse-list-elements | ja_directive | sample2 -- skip (already done)
[33/72] qwen3.5:9b | reverse-list-elements | ja_directive | sample3 -- skip (already done)
[34/72] qwen3.5:9b | reverse-list-elements | mt_en | sample1 -- skip (already done)
[35/72] qwen3.5:9b | reverse-list-elements | mt_en | sample2 -- skip (already done)
[36/72] qwen3.5:9b | reverse-list-elements | mt_en | sample3 -- skip (already done)
[37/72] qwen3.5:9b | eval-expression | en_human | sample1 -- skip (already done)
[38/72] qwen3.5:9b | eval-expression | en_human | sample2 -- skip (already done)
[39/72] qwen3.5:9b | eval-expression | en_human | sample3 -- skip (already done)
[40/72] qwen3.5:9b | eval-expression | ja_raw | sample1 -- skip (already done)
[41/72] qwen3.5:9b | eval-expression | ja_raw | sample2 -- skip (already done)
[42/72] qwen3.5:9b | eval-expression | ja_raw | sample3 -- skip (already done)
[43/72] qwen3.5:9b | eval-expression | ja_directive | sample1 -- skip (already done)
[44/72] qwen3.5:9b | eval-expression | ja_directive | sample2 -- skip (already done)
[45/72] qwen3.5:9b | eval-expression | ja_directive | sample3 -- skip (already done)
