[1/144] qwen3.5:9b | business-days | en_human | sample1 -- skip (already done)
[2/144] qwen3.5:9b | business-days | en_human | sample2 -- skip (already done)
[3/144] qwen3.5:9b | business-days | en_human | sample3 -- skip (already done)
[4/144] qwen3.5:9b | business-days | en_human | sample4 -- ok (44.6s)
[5/144] qwen3.5:9b | business-days | en_human | sample5 -- ok (52.4s)
[6/144] qwen3.5:9b | business-days | en_human | sample6 -- ok (54.6s)
[7/144] qwen3.5:9b | business-days | ja_raw | sample1 -- skip (already done)
[8/144] qwen3.5:9b | business-days | ja_raw | sample2 -- skip (already done)
[9/144] qwen3.5:9b | business-days | ja_raw | sample3 -- skip (already done)
[10/144] qwen3.5:9b | business-days | ja_raw | sample4 -- ok (237.9s)
[11/144] qwen3.5:9b | business-days | ja_raw | sample5 -- ok (32.3s)
[12/144] qwen3.5:9b | business-days | ja_raw | sample6 -- ok (32.0s)
[13/144] qwen3.5:9b | business-days | ja_directive | sample1 -- skip (already done)
[14/144] qwen3.5:9b | business-days | ja_directive | sample2 -- skip (already done)
[15/144] qwen3.5:9b | business-days | ja_directive | sample3 -- skip (already done)
[1/144] qwen3.5:9b | business-days | en_human | sample1 -- ok (43.9s)
[2/144] qwen3.5:9b | business-days | en_human | sample2 -- ok (37.0s)
[3/144] qwen3.5:9b | business-days | en_human | sample3 -- ok (28.6s)
[4/144] qwen3.5:9b | business-days | en_human | sample4 -- ok (37.8s)
[5/144] qwen3.5:9b | business-days | en_human | sample5 -- ok (36.6s)
[6/144] qwen3.5:9b | business-days | en_human | sample6 -- ok (30.0s)
[7/144] qwen3.5:9b | business-days | ja_raw | sample1 -- ok (189.6s)
[8/144] qwen3.5:9b | business-days | ja_raw | sample2 -- ok (28.3s)
[9/144] qwen3.5:9b | business-days | ja_raw | sample3 -- ok (51.4s)
[10/144] qwen3.5:9b | business-days | ja_raw | sample4 -- ok (32.8s)
[11/144] qwen3.5:9b | business-days | ja_raw | sample5 -- ok (57.2s)
[12/144] qwen3.5:9b | business-days | ja_raw | sample6 -- ok (25.7s)
[13/144] qwen3.5:9b | business-days | ja_directive | sample1 -- ok (139.9s)
[14/144] qwen3.5:9b | business-days | ja_directive | sample2 -- ok (170.7s)
[15/144] qwen3.5:9b | business-days | ja_directive | sample3 -- ok (227.9s)
[16/144] qwen3.5:9b | business-days | ja_directive | sample4 -- ok (147.3s)
[17/144] qwen3.5:9b | business-days | ja_directive | sample5 -- ok (126.5s)
[18/144] qwen3.5:9b | business-days | ja_directive | sample6 -- ok (173.3s)
[19/144] qwen3.5:9b | business-days | mt_en | sample1 -- ok (38.8s)
[20/144] qwen3.5:9b | business-days | mt_en | sample2 -- ok (35.6s)
[21/144] qwen3.5:9b | business-days | mt_en | sample3 -- ok (76.5s)
[22/144] qwen3.5:9b | business-days | mt_en | sample4 -- ok (251.3s)
[23/144] qwen3.5:9b | business-days | mt_en | sample5 -- ok (45.6s)
[24/144] qwen3.5:9b | business-days | mt_en | sample6 -- ok (34.9s)
[25/144] qwen3.5:9b | currency-format | en_human | sample1 -- skip (already done)
